Business,Lat,Long,Address,City,Area_Code,Industry
Teba,-27.4608393,23.4316642,"7 Steward St, Kuruman",Kuruman,8460,MiniMarket/Grocery Store
Score Supermarket - Kuruman,-27.4608393,23.4316642,"12 Livingstone St, Kuruman",Kuruman,8460,Supermarket
Z&A Super Market,-27.4608393,23.4316642,"3479 Voortrekker St, Kuruman",Kuruman,8460,Grocery Store
Bismilla Grocery,-27.4559083,23.4293152,Kuruman,Kuruman,8460,Grocery Store
Kuruman Boxer Superstores,-27.4567256,23.4318659,"Livingstone St, Kuruman",Kuruman,8460,Grocery Store
Snymans Drankwinkel,-26.7135483,27.0998811,"230 Walter Sisulu Ln, Potchefstroom",Potchefstroom,2531,Liquor Store
Miederpark Blue Bottle Liquors,-26.719454,27.10142,"395 Walter Sisulu Ln, Potchefstroom",Potchefstroom,2520,Liquor Store
TOPS at SPAR Potch,-26.719454,27.10142,"Cnr of Kerk, Maherry St, Potchefstroom",Potchefstroom,2523,Liquor Store
Ultra Liquors Ikageng,-26.719454,27.10142,"Shop 2, Ikageng Shopping Centre, Ikageng Rd, Potch Industrial, Potchefstroom",Potchefstroom,2520,Liquor Store
OK LIQUOR POTCHEFSTROOM,-26.719454,27.10142,"SHOP 5, 80 Smit St, Potchefstroom",Potchefstroom,2531,Liquor Store
KING BLUE BOTTLE LIQUORS,-26.719454,27.10142,"Industrial Sid, 5 Ikageng Rd, Potchindustria, Potchefstroom",Potchefstroom,2531,Liquor Store
Pick n Pay Potchefstroom Liquor Store,-26.704432,27.0928312,"Walter Sisulu Ln & Retief St, Potchefstroom",Potchefstroom,2531,Liquor Store
Rhino Roastery,-25.8191892,28.263981,"Castle Walk Centre, c/o Nossob str, Erasmuskloof, Pretoria",Pretoria,81,Coffee Shops
Café 41 Rigel,-25.8168771,28.2639346,"Waterkloof Rand Center, 45 Buffelsdrift Str &, Rigel Ave, Erasmusrand, Pretoria",Pretoria,169,Coffee Shops
Bean@Paradise,-25.816522,28.2704707,"914 Rubenstein Dr, Moreleta Park, Pretoria",Pretoria,44,Coffee Shops
Raw Coffee,-25.783258,28.2749603,"Warehouse Shop 2, Lightning, 322 Garsfontein Rd, Waterkloof Glen, Pretoria",Pretoria,49,Coffee Shops
Megusto Coffee - Time Square,-25.783258,28.2749603,"Time Square, 209 Aramist Avenue, Menlyn, Pretoria",Pretoria,10,Coffee Shops
Seattle Coffee Co.,-25.8246047,28.2505155,"Shop No. LF50, Menlyn Park, Atterbury Rd, Menlo Park, Pretoria",Pretoria,63,Coffee Shops
Coffee at Isabelle's,-25.7768557,28.2698675,"13th St, Menlo Park, Pretoria",Pretoria,81,Coffee Shops
Caffé Rossini,-25.7658947,28.2359154,"Shop 38, Fehrsen St, Nieuw Muckleneuk, Pretoria",Pretoria,181,Coffee Shops
Spout Coffee Company,-25.7754921,28.253223,"Corner of 16th street and Firwood avenue, Hazelwood, Pretoria",Pretoria,81,Coffee Shops
Barcelos Queenstown Nonesi Mall,-31.9023654,26.8696783,"8698 Victoria Rd, Queenstown",Queenstown,5380,Fast Food
Nando's Queenstown,-31.897857,26.8735924,"32 Cathcart Rd, Queenstown",Queenstown,5320,Fast Food
Hungry Lion,-31.8968368,26.872895,"Sanlam Building,  Cnr Hexagon &  Bowker St, Queenstown",Queenstown,5319,Fast Food
KFC Queenstown 1,-31.8968368,26.872895,"37 Cathcart Rd, Queenstown",Queenstown,5320,Fast Food
Steers,-31.8975655,26.8752232,"6 Cathcart Rd, Queenstown",Queenstown,5320,Fast Food
Gino's,-33.9394836,18.8594417,"De Kelder, 63 Dorp St, Stellenbosch Central, Stellenbosch",Stellenbosch,7600,Restaurant
Oppie Dorp Restaurant and Wine bar,-33.9394836,18.8594417,"137 Dorp St,  Stellenbosch Central, Stellenbosch",Stellenbosch,7600,Restaurant
De Vrije Burger,-33.9388394,18.8644606,"61 Plein St, Stellenbosch Central, Stellenbosch",Stellenbosch,7600,Restaurant
Stellenbosch Kitchen,-33.9388394,18.8644606,"Dorp St & Andringa St,  Stellenbosch Central, Stellenbosch",Stellenbosch,7600,Restaurant
Bohemia,-33.9345846,18.8584963,"Stellenbosch Central, Stellenbosch",Stellenbosch,7600,Restaurant
Sukithai,-33.9345846,18.8584963,"Stellenbosch Central, Stellenbosch",Stellenbosch,7600,Restaurant
Genki,-33.9362581,18.8600198,"Shop 2 De Wet Centre Courtyard,  Church St,  Stellenbosch Central, Stellenbosch",Stellenbosch,7600,Restaurant
Mariams Kitchen Stellenbosch,-33.9327456,18.8654097,"Stellenbosch Central, Stellenbosch",Stellenbosch,7599,Restaurant
Naz Beauty Salon,-33.9671675,18.5000871,"Building 35 Goldbatt, Klipfontein Road  Off Thornton Rd, Athlone, Cape Town",Athlone,7764,Beauty
SkinTech Beauty,-33.9655315,18.5087903,"Ashmed Medi-Centre,  21 Church St, Athlone, Cape Town",Athlone,7760,Beauty
Bharat Hair Art & Beautician,-33.9655315,18.5087903,"1 Belwood Centre, 47 Belgravia Rd, Athlone Cape Town",Athlone,7764,Beauty
Empire Hair Salon,-33.9673336,18.5037686,"Melofen Centre, Klipfontein Rd, Athlone, Cape Town",Athlone,7764,Beauty
FD Hair Design,-33.9664657,18.5055706,"41 Thornton Rd, Athlone, Cape Town",Athlone,7764,Beauty
Heads Together Unisex Salon,-33.9641699,18.503296,"4 Lawrence Rd, Athlone, Cape Town",Athlone,7764,Beauty
